,tempo,valence
319,99.0,0.95
320,120.0,0.31
321,121.0,0.96
322,118.0,0.66
323,109.0,0.73
324,85.0,0.71
325,90.0,0.74
326,128.0,0.18
327,85.0,0.19
328,88.0,0.36
329,122.0,0.36
330,117.0,0.96
331,91.0,0.41
332,110.0,0.46
333,131.0,0.16
334,118.0,0.82
335,132.0,0.58
336,160.0,0.46
337,128.0,0.97
338,163.0,0.32
339,170.0,0.63
340,95.0,0.78
341,108.0,0.63
342,141.0,0.57
343,155.0,0.64
344,92.0,0.93
345,125.0,0.44
346,125.0,0.76
347,117.0,0.4
348,195.0,0.71
349,83.0,0.44
350,86.0,0.41
351,145.0,0.45
352,96.0,0.14
353,164.0,0.48
354,170.0,0.5
355,174.0,0.85
356,162.0,0.7
357,120.0,0.26
358,110.0,0.46
359,122.0,0.37
360,132.0,0.72
361,81.0,0.54
362,111.0,0.79
363,99.0,0.84
364,120.0,0.29
365,126.0,0.51
366,100.0,0.11
367,127.0,0.5
368,100.0,0.6
369,125.0,0.29
370,120.0,0.64
371,115.0,0.21
372,84.0,0.55
373,183.0,0.11
374,146.0,0.37
375,106.0,0.66
376,123.0,0.75
377,95.0,0.96
378,142.0,0.47
379,141.0,0.12
380,122.0,0.13
381,82.0,0.9
382,87.0,0.65
383,100.0,0.22
384,118.0,0.87
385,121.0,0.45
386,109.0,0.08
387,115.0,0.37
388,120.0,0.59
389,120.0,0.4
390,168.0,0.38
391,174.0,0.68
392,85.0,0.94
393,120.0,0.94
394,111.0,0.37
395,76.0,0.19
396,126.0,0.63
397,114.0,0.4
398,138.0,0.75
399,111.0,0.85
400,94.0,0.08
401,75.0,0.72
402,128.0,0.36
403,142.0,0.96
404,120.0,0.72
405,111.0,0.94
406,106.0,0.92
407,92.0,0.27
408,105.0,0.84
409,130.0,0.84
410,112.0,0.85
411,108.0,0.17
412,219.0,0.71
413,156.0,0.48
414,196.0,0.14
415,118.0,0.33
416,135.0,0.06
417,100.0,0.32
418,119.0,0.19
419,152.0,0.51
420,186.0,0.2
421,74.0,0.26
422,114.0,0.96
423,125.0,0.57
424,160.0,0.52
425,114.0,0.47
426,94.0,0.68
427,105.0,0.29
428,122.0,0.14
429,83.0,0.21
430,100.0,0.38
431,182.0,0.55
432,88.0,0.17
433,105.0,0.33
434,166.0,0.59
435,94.0,0.6
436,115.0,0.7
437,112.0,0.46
438,120.0,0.09
439,112.0,0.3
440,152.0,0.44
441,152.0,0.77
442,122.0,0.37
443,150.0,0.34
444,78.0,0.9
445,90.0,0.14
446,120.0,0.56
447,117.0,0.14
448,112.0,0.24
449,144.0,0.67
450,126.0,0.35
451,174.0,0.45
452,137.0,0.7
453,108.0,0.72
454,127.0,0.64
455,122.0,0.72
456,85.0,0.68
457,164.0,0.96
458,156.0,0.65
459,123.0,0.79
460,125.0,0.99
461,123.0,0.53
462,92.0,0.86
463,81.0,0.75
464,95.0,0.54
465,172.0,0.89
466,95.0,0.78
467,105.0,0.72
468,105.0,0.77
469,134.0,0.68
470,126.0,0.88
471,126.0,0.58
472,117.0,0.14
473,111.0,0.62
474,65.0,0.64
475,121.0,0.12
476,125.0,0.95
477,103.0,0.71
478,100.0,0.48
479,127.0,0.24
480,142.0,0.4
481,128.0,0.26
482,174.0,0.23
483,103.0,0.82
484,125.0,0.33
485,128.0,0.29
486,98.0,0.29
487,91.0,0.05
488,128.0,0.04
489,125.0,0.96
490,126.0,0.63
491,122.0,0.79
492,123.0,0.49
493,170.0,0.41
494,100.0,0.36
495,80.0,0.68
496,105.0,0.71
497,100.0,0.97
498,130.0,0.92
499,121.0,0.69
500,125.0,0.46
501,196.0,0.15
502,82.0,0.34
503,132.0,0.56
504,103.0,0.26
505,128.0,0.17
506,75.0,0.73
507,116.0,0.14
508,110.0,0.21
509,121.0,0.9
510,101.0,0.16
511,166.0,0.23
512,83.0,0.79
513,132.0,0.3
514,112.0,0.52
515,140.0,0.24
516,119.0,0.9
517,130.0,0.65
518,130.0,0.85
519,97.0,0.75
520,81.0,0.51
521,111.0,0.23
522,109.0,0.08
523,123.0,0.55
524,137.0,0.68
525,110.0,0.38
526,144.0,0.37
527,104.0,0.62
528,158.0,0.96
529,140.0,0.16
530,126.0,0.6
531,98.0,0.58
532,198.0,0.68
533,153.0,0.4
534,165.0,0.5
535,130.0,0.05
536,167.0,0.08
537,130.0,0.35
538,140.0,0.52
539,158.0,0.55
540,172.0,0.51
541,113.0,0.27
542,83.0,0.07
543,134.0,0.92
544,88.0,0.71
545,179.0,0.22
546,89.0,0.75
547,76.0,0.49
548,130.0,0.32
549,143.0,0.62
550,114.0,0.31
551,126.0,0.73
552,91.0,0.43
553,151.0,0.81
554,132.0,0.68
555,126.0,0.96
556,140.0,0.61
557,140.0,0.89
558,133.0,0.48
559,96.0,0.18
560,120.0,0.89
561,132.0,0.22
562,118.0,0.32
563,108.0,0.68
564,129.0,0.74
565,140.0,0.14
566,92.0,0.58
567,100.0,0.57
568,92.0,0.82
569,141.0,0.78
570,100.0,0.62
571,122.0,0.31
572,126.0,0.82
573,80.0,0.66
574,130.0,0.4
575,126.0,0.18
576,146.0,0.2
577,140.0,0.33
578,140.0,0.24
579,98.0,0.76
580,126.0,0.14
581,139.0,0.29
582,94.0,0.86
583,88.0,0.56
584,160.0,0.61
585,132.0,0.32
586,130.0,0.26
587,126.0,0.47
588,88.0,0.56
589,86.0,0.5
590,78.0,0.61
591,150.0,0.5
592,136.0,0.59
593,111.0,0.62
594,127.0,0.59
595,140.0,0.67
596,125.0,0.71
597,120.0,0.82
598,140.0,0.88
599,109.0,0.64
600,128.0,0.43
601,128.0,0.54
602,127.0,0.56
603,124.0,0.72
604,131.0,0.36
605,120.0,0.83
606,120.0,0.3
607,141.0,0.85
608,119.0,0.72
609,112.0,0.4
610,136.0,0.4
611,96.0,0.36
612,135.0,0.49
613,182.0,0.56
614,90.0,0.88
615,127.0,0.64
616,118.0,0.75
617,124.0,0.42
618,140.0,0.13
619,125.0,0.82
620,112.0,0.3
621,190.0,0.39
622,129.0,0.22
623,98.0,0.7
624,116.0,0.86
625,144.0,0.76
626,170.0,0.2
627,115.0,0.34
628,132.0,0.16
629,138.0,0.56
630,134.0,0.86
631,145.0,0.3
632,120.0,0.36
633,80.0,0.52
634,176.0,0.79
635,155.0,0.17
636,130.0,0.57
637,128.0,0.41
638,126.0,0.16
639,118.0,0.96
640,127.0,0.46
641,130.0,0.07
642,116.0,0.91
643,125.0,0.44
644,121.0,0.79
645,129.0,0.23
646,132.0,0.52
647,150.0,0.51
648,126.0,0.67
649,194.0,0.38
650,112.0,0.66
651,98.0,0.61
652,92.0,0.78
653,102.0,0.53
654,112.0,0.37
655,112.0,0.42
656,154.0,0.39
657,190.0,0.1
658,150.0,0.82
659,153.0,0.67
660,124.0,0.29
661,128.0,0.85
662,91.0,0.22
663,140.0,0.5
664,98.0,0.57
665,140.0,0.82
666,128.0,0.43
667,98.0,0.49
668,98.0,0.77
669,187.0,0.68
670,132.0,0.34
671,97.0,0.46
672,124.0,0.37
673,124.0,0.64
674,150.0,0.67
675,156.0,0.67
676,100.0,0.35
677,96.0,0.65
678,142.0,0.52
679,140.0,0.51
680,170.0,0.54
681,180.0,0.23
682,86.0,0.55
683,126.0,0.11
684,88.0,0.66
685,122.0,0.61
686,140.0,0.82
687,97.0,0.69
688,120.0,0.44
689,130.0,0.57
690,130.0,0.31
691,113.0,0.83
692,187.0,0.67
693,130.0,0.42
694,109.0,0.67
695,125.0,0.36
696,136.0,0.52
697,136.0,0.32
698,125.0,0.23
699,97.0,0.42
700,125.0,0.52
701,140.0,0.66
702,116.0,0.26
703,127.0,0.73
704,85.0,0.4
705,118.0,0.56
706,138.0,0.66
707,128.0,0.4
708,123.0,0.43
709,135.0,0.27
710,132.0,0.76
711,124.0,0.46
712,170.0,0.31
713,112.0,0.66
714,124.0,0.61
715,90.0,0.4
716,124.0,0.34
717,100.0,0.29
718,208.0,0.17
719,122.0,0.53
720,115.0,0.11
721,115.0,0.82
722,137.0,0.92
723,78.0,0.62
724,120.0,0.57
725,122.0,0.78
726,91.0,0.23
727,112.0,0.31
728,120.0,0.9
729,186.0,0.1
730,120.0,0.46
731,130.0,0.29
732,95.0,0.37
733,152.0,0.07
734,127.0,0.04
735,94.0,0.67
736,94.0,0.09
737,83.0,0.34
738,123.0,0.49
739,108.0,0.66
740,112.0,0.1
741,132.0,0.5
742,115.0,0.77
743,130.0,0.56
744,113.0,0.46
745,105.0,0.3
746,124.0,0.34
747,152.0,0.3
748,140.0,0.4
749,109.0,0.2
750,111.0,0.91
751,130.0,0.51
752,188.0,0.26
753,92.0,0.81
754,120.0,0.46
755,154.0,0.67
756,124.0,0.18
757,104.0,0.59
758,98.0,0.96
759,131.0,0.31
760,145.0,0.58
761,95.0,0.44
762,100.0,0.7
763,112.0,0.36
764,123.0,0.39
765,123.0,0.53
766,136.0,0.62
767,104.0,0.72
768,148.0,0.71
769,124.0,0.59
770,119.0,0.95
771,123.0,0.71
772,125.0,0.32
773,124.0,0.82
774,103.0,0.62
775,148.0,0.7
776,145.0,0.25
777,130.0,0.58
778,101.0,0.49
779,89.0,0.5
780,168.0,0.19
781,114.0,0.28
782,94.0,0.08
783,101.0,0.37
784,108.0,0.18
785,170.0,0.36
786,116.0,0.18
787,100.0,0.3
788,122.0,0.7
789,71.0,0.06
790,114.0,0.42
791,81.0,0.44
792,140.0,0.5
793,137.0,0.3
794,127.0,0.71
795,123.0,0.17
796,142.0,0.96
797,88.0,0.59
798,128.0,0.61
